TARİH,müşteri,TUTAR,ŞUBE,ÜRÜN TÜRÜ
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
,,0,ART,DIGER
